class,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28
PUSHup,0.8416568040847778,0.5625141859054565,-0.034798480570316315,0.9998548030853271,0.7449856996536255,0.4966171383857727,0.26144394278526306,0.9980629682540894,0.7863291501998901,0.49476155638694763,-0.23646993935108185,0.9999600648880005,0.744810938835144,0.671897828578949,0.3042988181114197,0.3296753466129303,0.7984675168991089,0.685504138469696,-0.3287011384963989,0.9955427646636963,0.7662392258644104,0.8184458017349243,0.21075010299682617,0.4949999153614044,0.843451201915741,0.8470040559768677,-0.31071725487709045,0.9736099243164062,0.5239307880401611,0.576536238193512,0.1449134647846222,0.9971767663955688,0.5319833755493164,0.5882032513618469,-0.14477649331092834,0.9990092515945435,0.3725435733795166,0.6849237084388733,0.20088903605937958,0.25899538397789,0.3681415021419525,0.6967519521713257,-0.08225573599338531,0.9824813604354858,0.21705925464630127,0.7491969466209412,0.3036637604236603,0.5854235887527466
PUSHup,0.840340256690979,0.5638424754142761,-0.03338521346449852,0.9998517036437988,0.7449133992195129,0.4968722462654114,0.2644648849964142,0.9980632066726685,0.7863086462020874,0.4953702986240387,-0.23695027828216553,0.9999606013298035,0.7447240352630615,0.6718391180038452,0.30762264132499695,0.32931140065193176,0.7983778715133667,0.6855271458625793,-0.32908326387405396,0.99559485912323,0.7663155794143677,0.8180913329124451,0.2114686518907547,0.49444571137428284,0.8435298800468445,0.8468309044837952,-0.3117271363735199,0.9740239381790161,0.5241417288780212,0.5763440728187561,0.1455143392086029,0.9971625804901123,0.5321836471557617,0.5879879593849182,-0.14537742733955383,0.9990031123161316,0.3728748857975006,0.6848738193511963,0.20095834136009216,0.25765883922576904,0.36846283078193665,0.6967477202415466,-0.0842970684170723,0.9825296401977539,0.2172541320323944,0.7492905855178833,0.3043387830257416,0.5826771855354309
PUSHup,0.839527428150177,0.5646205544471741,-0.03245757892727852,0.9998490214347839,0.7448482513427734,0.4970073103904724,0.26636749505996704,0.9980648159980774,0.7863008975982666,0.49577707052230835,-0.23725108802318573,0.9999611377716064,0.7446483373641968,0.6717506647109985,0.30955028533935547,0.32891201972961426,0.798302948474884,0.6855534315109253,-0.32951828837394714,0.9956430792808533,0.7663610577583313,0.8177887797355652,0.21206828951835632,0.4939444959163666,0.8435665965080261,0.8467034697532654,-0.31279557943344116,0.9744047522544861,0.5243996977806091,0.5761750936508179,0.14605584740638733,0.9971516132354736,0.5324314832687378,0.5878232717514038,-0.14591887593269348,0.9989981055259705,0.3731604516506195,0.6848133206367493,0.20100924372673035,0.25668251514434814,0.3687171936035156,0.6967117786407471,-0.0855315774679184,0.9826180934906006,0.21753883361816406,0.7494121193885803,0.30458515882492065,0.5806668400764465
PUSHup,0.8388082385063171,0.5659945607185364,-0.03100515529513359,0.9998486638069153,0.7446460127830505,0.49745169281959534,0.2664321959018707,0.9980794191360474,0.7862512469291687,0.49621471762657166,-0.23629745841026306,0.9999616742134094,0.7445973753929138,0.6715365052223206,0.30949485301971436,0.32812610268592834,0.7981013059616089,0.6855090260505676,-0.3294302821159363,0.9956756830215454,0.766376256942749,0.8174401521682739,0.21201829612255096,0.49376457929611206,0.8435742259025574,0.8465473651885986,-0.3118777871131897,0.9747002720832825,0.5244029760360718,0.5760829448699951,0.14605329930782318,0.997174084186554,0.532576858997345,0.5878186821937561,-0.1459164321422577,0.999003529548645,0.3732820749282837,0.6846055388450623,0.2009764462709427,0.2562309503555298,0.3690555989742279,0.6960964202880859,-0.08514735102653503,0.982696533203125,0.2175510674715042,0.749435305595398,0.30394691228866577,0.580543041229248
PUSHup,0.8382934331893921,0.5668531656265259,-0.02993837557733059,0.9998486638069153,0.744422197341919,0.49776512384414673,0.2671659290790558,0.9980966448783875,0.7862130403518677,0.49656158685684204,-0.23567727208137512,0.9999622702598572,0.7445392608642578,0.671392023563385,0.309884637594223,0.3276642858982086,0.7979730367660522,0.6854850053787231,-0.3294215202331543,0.995715856552124,0.7663902044296265,0.817152738571167,0.21204404532909393,0.49398165941238403,0.8435839414596558,0.8464046716690063,-0.3115065097808838,0.9750304222106934,0.5244067907333374,0.5760083794593811,0.1460694521665573,0.9971925020217896,0.5327474474906921,0.587813138961792,-0.14593233168125153,0.9990079402923584,0.3733496367931366,0.6844585537910461,0.20072022080421448,0.2555280327796936,0.36929529905319214,0.6956775784492493,-0.08497385680675507,0.982759416103363,0.21752843260765076,0.7494735717773438,0.3024306893348694,0.5797390937805176
PUSHup,0.8360697031021118,0.568529486656189,-0.02700258418917656,0.9998472929000854,0.7438861727714539,0.4989391267299652,0.2690485119819641,0.998101532459259,0.7855275869369507,0.49707984924316406,-0.23408107459545135,0.9999628067016602,0.7445234656333923,0.6711705923080444,0.3118007779121399,0.32717737555503845,0.7979514002799988,0.685111403465271,-0.3294101357460022,0.9957624077796936,0.7664775252342224,0.8168204426765442,0.2123570740222931,0.49488839507102966,0.8435815572738647,0.8462439775466919,-0.3114098608493805,0.9753844141960144,0.5244349241256714,0.576053261756897,0.14618699252605438,0.9971732497215271,0.5330663323402405,0.5881698727607727,-0.1460479497909546,0.9990022778511047,0.3733835220336914,0.6839284300804138,0.20073005557060242,0.25533291697502136,0.36945563554763794,0.6953953504562378,-0.08631068468093872,0.9828082919120789,0.21753542125225067,0.7491111159324646,0.30228808522224426,0.5783044695854187
PUSHup,0.8353357315063477,0.570734977722168,-0.02713506482541561,0.9998465776443481,0.7437543272972107,0.5014213919639587,0.2696618437767029,0.9981200695037842,0.7850645780563354,0.4988820254802704,-0.23434671759605408,0.9999632835388184,0.7446168065071106,0.6713989973068237,0.31293025612831116,0.32764720916748047,0.7978543043136597,0.6850265264511108,-0.3308471143245697,0.9957953095436096,0.7668805718421936,0.8168315291404724,0.2122528851032257,0.4950697720050812,0.8437563180923462,0.8461557626724243,-0.3137277066707611,0.9755653738975525,0.5247602462768555,0.5760589838027954,0.14658397436141968,0.9971693754196167,0.5333062410354614,0.5880118012428284,-0.14644040167331696,0.9989974498748779,0.3734632134437561,0.6837822794914246,0.20048752427101135,0.25407397747039795,0.369479238986969,0.6950841546058655,-0.0874074399471283,0.9827694296836853,0.21739904582500458,0.7490575909614563,0.30086541175842285,0.5758056044578552
PUSHup,0.8348766565322876,0.5719649195671082,-0.027029316872358322,0.9998458027839661,0.7436744570732117,0.5025689005851746,0.2702416181564331,0.9981392621994019,0.784797728061676,0.5000483989715576,-0.23454761505126953,0.9999637007713318,0.744705080986023,0.671466588973999,0.3132731318473816,0.3283311724662781,0.7977874279022217,0.6849693655967712,-0.33152860403060913,0.9958285093307495,0.767325758934021,0.8168289065361023,0.21212108433246613,0.49567854404449463,0.8439685702323914,0.8461017608642578,-0.31475526094436646,0.975760281085968,0.5249639749526978,0.5760392546653748,0.14688481390476227,0.9971654415130615,0.5334813594818115,0.5878429412841797,-0.14673809707164764,0.998992919921875,0.37349066138267517,0.6836504340171814,0.20029155910015106,0.25280630588531494,0.3694961667060852,0.6948553919792175,-0.08826126903295517,0.9827452301979065,0.21721509099006653,0.7490436434745789,0.2996508777141571,0.5734173655509949
PUSHdown,0.8763219714164734,0.8202270865440369,-0.06925744563341141,0.9996440410614014,0.7853047847747803,0.7324655055999756,0.23767690360546112,0.9969321489334106,0.80609530210495,0.7541519403457642,-0.26270225644111633,0.9997726082801819,0.7004235982894897,0.6873751878738403,0.44868630170822144,0.0846257284283638,0.7301705479621887,0.6871635317802429,-0.5329223275184631,0.9868466258049011,0.7162159085273743,0.7908837199211121,0.5556318163871765,0.04337416961789131,0.7943993806838989,0.8520879745483398,-0.7351567149162292,0.930936336517334,0.526512622833252,0.7447782158851624,0.1606217324733734,0.9833828806877136,0.5223314166069031,0.7505401968955994,-0.16036751866340637,0.9948248863220215,0.3364778161048889,0.7688683867454529,0.17732639610767365,0.34554505348205566,0.3196316063404083,0.7657037377357483,-0.12920139729976654,0.9749346971511841,0.1576421558856964,0.7504597306251526,0.2551642954349518,0.49249881505966187
PUSHdown,0.8749772310256958,0.8197702169418335,-0.06495174020528793,0.9996006488800049,0.7882561087608337,0.7380863428115845,0.23764602839946747,0.9969278573989868,0.8070391416549683,0.7527080774307251,-0.24745695292949677,0.9997643828392029,0.7104952335357666,0.6873369216918945,0.41083163022994995,0.09331506490707397,0.7350127100944519,0.6835365891456604,-0.5185283422470093,0.9863784313201904,0.7103716731071472,0.7890674471855164,0.47962555289268494,0.04356227070093155,0.7944726943969727,0.8521572947502136,-0.7097935080528259,0.9246636629104614,0.5281468033790588,0.7449203133583069,0.15920720994472504,0.9838558435440063,0.5251385569572449,0.7525550723075867,-0.1590104103088379,0.9949678182601929,0.3372294306755066,0.7703818678855896,0.16284510493278503,0.34478968381881714,0.3212498426437378,0.7659044861793518,-0.12913979589939117,0.9755815267562866,0.15637865662574768,0.7534494400024414,0.23014774918556213,0.49317118525505066
